"card_details_name","card_details_card_text"
"A Duet of Light","Card Text
Choose one, you may choose an additional one for each recovered J/ruler you control;
- You gain 2000 life.
- Put target non-magic stone, non-chant card or alternative card with total cost 3 or less from your graveyard into the field. You may only put a non-chant part of that alternative card into the field.
- Put four [+100/+100] counters on each J/resonator you control."
"Almerius","Card Text
[Judgment] [W][W][1]
[Tag] (Six Sages) - You may start the game with this ruler and another ruler with [Tag] (Six Sages) that doesn't share a name with this card. Put both in your ruler area.
Continuous
If you would set your starting life, set it to that much plus 3000 instead.
Continuous
You may pay [1] less to do judgment of rulers you control.
Activate
[Rest]: Target J/resonator gains [+200/+200] until end of turn."
"Almerius","Card Text
[Judgment] [W][W][1]
[Tag] (Six Sages) - You may start the game with this ruler and another ruler with [Tag] (Six Sages) that doesn't share a name with this card. Put both in your ruler area.
Continuous
If you would set your starting life, set it to that much plus 3000 instead.
Continuous
You may pay [1] less to do judgment of rulers you control.
Activate
[Rest]: Target J/resonator gains [+200/+200] until end of turn."
"Chiffon, Spirit of Guidance","Card Text
[Flying]
[Awakening] Rest a recovered light J/ruler you control: [Enter] >>> Destroy target non-magic stone entity your opponent controls."
"Gathering of the Six Sages","Card Text
[Quickcast]
Continuous
Recover a ruler you control. Draw a card."
"Guardian Wizard","Card Text
Continuous
Prevent all non-battle damage that would be dealt to J/resonators you control.
Automatic
Whenever your opponent plays an awakened spell >>> J/resonators you control gain [Barrier] until end of turn."
"Gullwing, Dragon Spirit","Card Text
[Flying]
Continuous
As you play this card, you may rest any number of recovered J/rulers you control and/or any number of recovered Spirit resonators you control. You pay [W] less to play this card for each J/ruler rested this way and [1] less for each Spirit resonator rested this way.
Automatic
[Enter] >>> Recover all Spirits you control."
"Messenger from the Spirit Village","Card Text
[Flying]
Automatic
[Enter] >>> You may search your deck for an addition, reveal it and put it into your hand. Then shuffle your deck."
"Princess Kaguya // Flying Bamboo","Card Text
Continuous
If you would produce will with a magic stone you control, you produce that will plus [M] instead.
Continuous
Calling a magic stone does not cause your J/rulers to rest.
Activate
[M]: This card gains [+200/+200] and [Flying] until end of turn.
[Quickcast]
Choose a ruler with [Tag] (Six Sages) you control and a ruler with [Tag] (Six Sages) you own from outside the game. Swap those rulers. If you spent [M] to play this card, put its ""Princess Kaguya"" part into the field instead of putting this card into its owner's graveyard."
"Rapunzel, the Long-Haired Princess","Card Text
Continuous
This card doesn't recover during the recovery phase.
Activate
Rest a recovered resonator you control other than ""Rapunzel, the Long-Haired Princess"".: Recover this card.
Activate
[rest]: Target resonator gains [+200/+0] and [Flying] until end of turn."
"Rush of Spirits","Card Text
[Quickcast]
As an additional cost to play this card, reveal a Spirit from your hand.
Destroy target resonator if its total cost is less than the total cost of the revealed card."
"Spirit of Hope","Card Text
[Pierce]
Automatic
Whenever a J/ruler you control is recovered >>> This card gains [+300/0] until end of turn."
"Spirit Ring","Card Text
Automatic
[Enter] >>> You may destroy target non-magic stone, non-J/resonator entity.
Activate
Rest a recovered J/ruler you control: Produce one will of any attribute. Spend this will only to play Spirit cards."
"Spirit Village","Card Text
Continuous
Spirits you control gain [+200/+200].
Continuous
Spirits you own in all zones gain [Quickcast].
Activate
Rest a recovered light J/ruler you control: Look at the top two cards of your deck. You may reveal a Spirit from among them and put it into your hand. Then put the rest on the bottom of your deck in any order."
